case,T,J,value
baseline,T1618,HR_M-near,0.039073865321862945
baseline,T1618,HR_M-far,0.039073865321862945
baseline,T1618,HR_L-near,0.035303671937818276
baseline,T1618,HR_L-far,0.035303671937818276
baseline,T1738,CHP_coal,0.5880362264150943
baseline,T1738,CHP_muniwaste,0.19480901077375123
baseline,T1738,CHP_natgas,0.5510247349823321
baseline,T1738,HOB_elec,0.024723232323232328
baseline,T1738,HOB_gasoil,0.2589902912621359
baseline,T1738,HOB_muniwaste,0.14488636363636362
baseline,T1738,HOB_natgas,0.1974757281553398
baseline,T1738,HP_ambient,0.009861402095084609
baseline,T1738,HP_industry,0.008501563042723167
baseline,T1738,HR_S-near,0.008056616194865043
baseline,T1738,HR_S-far,0.008056616194865043
baseline,T1738,HR_M-near,0.0071903642773207994
baseline,T1738,HR_M-far,0.0071903642773207994
baseline,T1738,HR_L-near,0.006495753715498939
baseline,T1738,HR_L-far,0.006495753715498939
baseline,T1858,CHP_coal,0.5880362264150943
baseline,T1858,CHP_muniwaste,0.19480901077375123
baseline,T1858,CHP_natgas,0.5510247349823321
baseline,T1858,HOB_elec,0.033706060606060614
baseline,T1858,HOB_gasoil,0.2589902912621359
baseline,T1858,HOB_muniwaste,0.14488636363636362
baseline,T1858,HOB_natgas,0.1974757281553398
baseline,T1858,HP_ambient,0.014008816120906802
baseline,T1858,HP_industry,0.011490702479338845
baseline,T1858,HR_S-near,0.010883561643835618
baseline,T1858,HR_S-far,0.010883561643835618
baseline,T1858,HR_M-near,0.009711583236321306
baseline,T1858,HR_M-far,0.009711583236321306
baseline,T1858,HR_L-near,0.008772082018927447
baseline,T1858,HR_L-far,0.008772082018927447
baseline,T1978,CHP_coal,0.5880362264150943
baseline,T1978,CHP_muniwaste,0.19480901077375123
baseline,T1978,CHP_natgas,0.5510247349823321
baseline,T1978,HOB_elec,0.02176060606060606
baseline,T1978,HOB_gasoil,0.2589902912621359
baseline,T1978,HOB_muniwaste,0.14488636363636362
baseline,T1978,HOB_natgas,0.1974757281553398
baseline,T1978,HP_ambient,0.008736009732360096
baseline,T1978,HP_industry,0.007418388429752067
