case,T,J,value
baseline,T2458,CHP_biofuel,2.0969560315670797
baseline,T2458,CHP_coal,1.7358490566037734
baseline,T2458,CHP_muniwaste,1.2732615083251715
baseline,T2458,CHP_natgas,2.70906949352179
baseline,T2458,CHP_straw,1.453252032520325
baseline,T2458,CHP_w-chip,1.3018322082931535
baseline,T2458,CHP_w-pellet,1.544041450777202
baseline,T2458,CHP_w-waste,1.3018322082931535
baseline,T2458,FF_solar,2.2222222222222223
baseline,T2458,FF_industry,1.0
baseline,T2458,HOB_biofuel,0.970873786407767
baseline,T2458,HOB_elec,1.0101010101010102
baseline,T2458,HOB_gasoil,0.970873786407767
baseline,T2458,HOB_muniwaste,0.9469696969696969
baseline,T2458,HOB_natgas,0.970873786407767
baseline,T2458,HOB_straw,0.970873786407767
baseline,T2458,HOB_w-chip,0.8771929824561404
baseline,T2458,HOB_w-pellet,0.9891196834817014
baseline,T2458,HOB_w-waste,0.8771929824561404
baseline,T2458,HP_ambient,0.39354584809130266
baseline,T2458,HP_industry,0.33795201081446435
baseline,T2458,HR_S-near,0.319693094629156
baseline,T2458,HR_S-far,0.319693094629156
baseline,T2458,HR_M-near,0.28530670470756064
baseline,T2458,HR_M-far,0.28530670470756064
baseline,T2458,HR_L-near,0.25779840164990975
baseline,T2458,HR_L-far,0.25779840164990975
baseline,T2578,CHP_biofuel,2.0969560315670797
baseline,T2578,CHP_coal,1.7358490566037734
baseline,T2578,CHP_muniwaste,1.2732615083251715
