,CHP_biofuel,CHP_coal,CHP_muniwaste,CHP_natgas,CHP_straw,CHP_w-chip,CHP_w-pellet,CHP_w-waste,FF_solar,FF_industry,HOB_biofuel,HOB_elec,HOB_gasoil,HOB_muniwaste,HOB_natgas,HOB_straw,HOB_w-chip,HOB_w-pellet,HOB_w-waste,HP_ambient,HP_industry,HR_S-near,HR_S-far,HR_M-near,HR_M-far,HR_L-near,HR_L-far
T0105,1,1,1,1,1,1,1,1,0.014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0106,1,1,1,1,1,1,1,1,0.114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0107,1,1,1,1,1,1,1,1,0.145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0108,1,1,1,1,1,1,1,1,0.225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0109,1,1,1,1,1,1,1,1,0.189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0110,1,1,1,1,1,1,1,1,0.177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0111,1,1,1,1,1,1,1,1,0.053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0112,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0113,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0114,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0115,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0116,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0117,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0118,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0119,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0120,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0121,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0122,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0123,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0124,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0125,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0126,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0127,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0128,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0129,1,1,1,1,1,1,1,1,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0130,1,1,1,1,1,1,1,1,0.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0131,1,1,1,1,1,1,1,1,0.051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0132,1,1,1,1,1,1,1,1,0.099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0133,1,1,1,1,1,1,1,1,0.093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0134,1,1,1,1,1,1,1,1,0.060,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0135,1,1,1,1,1,1,1,1,0.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0136,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0137,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0138,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0139,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0140,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0141,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0142,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0143,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0144,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0145,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0146,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0147,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0148,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0149,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0150,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0151,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0152,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0153,1,1,1,1,1,1,1,1,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0154,1,1,1,1,1,1,1,1,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0155,1,1,1,1,1,1,1,1,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0156,1,1,1,1,1,1,1,1,0.026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0157,1,1,1,1,1,1,1,1,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0158,1,1,1,1,1,1,1,1,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0159,1,1,1,1,1,1,1,1,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0160,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0161,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0162,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0163,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0164,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0165,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0166,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0167,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0168,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0169,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0170,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0171,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0172,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0173,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0174,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0175,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0176,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0177,1,1,1,1,1,1,1,1,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0178,1,1,1,1,1,1,1,1,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0179,1,1,1,1,1,1,1,1,0.040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0180,1,1,1,1,1,1,1,1,0.046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0181,1,1,1,1,1,1,1,1,0.053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0182,1,1,1,1,1,1,1,1,0.045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0183,1,1,1,1,1,1,1,1,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0184,1,1,1,1,1,1,1,1,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0185,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0186,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0187,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0188,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0189,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
