timestep,HP_ambient,HP_industry,HR_small,HR_medium,HR_large
T0367,2.317,2.828,2.98,3.34,3.697
T0368,2.314,2.828,2.98,3.34,3.697
T0369,2.314,2.828,2.98,3.34,3.697
T0370,2.324,2.828,2.98,3.34,3.697
T0371,2.344,2.828,2.98,3.34,3.697
T0372,2.351,2.828,2.98,3.34,3.697
T0373,2.347,2.828,2.98,3.34,3.697
T0374,2.351,2.828,2.98,3.34,3.697
T0375,2.334,2.828,2.98,3.34,3.697
T0376,2.324,2.828,2.98,3.34,3.697
T0377,2.327,2.828,2.98,3.34,3.697
T0378,2.33,2.828,2.98,3.34,3.697
T0379,2.334,2.828,2.98,3.34,3.697
T0380,2.341,2.828,2.98,3.34,3.697
T0381,2.341,2.828,2.98,3.34,3.697
T0382,2.344,2.828,2.98,3.34,3.697
T0383,2.344,2.828,2.98,3.34,3.697
T0384,2.341,2.828,2.98,3.34,3.697
T0385,2.341,2.828,2.98,3.34,3.697
T0386,2.341,2.828,2.98,3.34,3.697
T0387,2.337,2.828,2.98,3.34,3.697
T0388,2.33,2.828,2.98,3.34,3.697
T0389,2.314,2.828,2.98,3.34,3.697
T0390,2.314,2.828,2.98,3.34,3.697
T0391,2.297,2.828,2.98,3.34,3.697
T0392,2.291,2.828,2.98,3.34,3.697
T0393,2.284,2.828,2.98,3.34,3.697
T0394,2.281,2.828,2.98,3.34,3.697
T0395,2.304,2.828,2.98,3.34,3.697
T0396,2.31,2.828,2.98,3.34,3.697
T0397,2.317,2.828,2.98,3.34,3.697
T0398,2.32,2.828,2.98,3.34,3.697
T0399,2.287,2.828,2.98,3.34,3.697
T0400,2.268,2.828,2.98,3.34,3.697
T0401,2.274,2.828,2.98,3.34,3.697
T0402,2.294,2.828,2.98,3.34,3.697
T0403,2.274,2.828,2.98,3.34,3.697
T0404,2.265,2.828,2.98,3.34,3.697
T0405,2.262,2.828,2.98,3.34,3.697
T0406,2.265,2.828,2.98,3.34,3.697
T0407,2.265,2.828,2.98,3.34,3.697
T0408,2.255,2.828,2.98,3.34,3.697
T0409,2.258,2.828,2.98,3.34,3.697
T0410,2.252,2.828,2.98,3.34,3.697
T0411,2.255,2.828,2.98,3.34,3.697
T0412,2.265,2.828,2.98,3.34,3.697
T0413,2.262,2.828,2.98,3.34,3.697
T0414,2.252,2.828,2.98,3.34,3.697
T0415,2.24,2.828,2.98,3.34,3.697
T0416,2.23,2.828,2.98,3.34,3.697
T0417,2.227,2.828,2.98,3.34,3.697
T0418,2.227,2.828,2.98,3.34,3.697
T0419,2.243,2.828,2.98,3.34,3.697
T0420,2.268,2.828,2.98,3.34,3.697
T0421,2.265,2.828,2.98,3.34,3.697
T0422,2.258,2.828,2.98,3.34,3.697
T0423,2.255,2.828,2.98,3.34,3.697
T0424,2.252,2.828,2.98,3.34,3.697
T0425,2.224,2.828,2.98,3.34,3.697
T0426,2.203,2.828,2.98,3.34,3.697
T0427,2.206,2.828,2.98,3.34,3.697
T0428,2.209,2.828,2.98,3.34,3.697
T0429,2.212,2.828,2.98,3.34,3.697
T0430,2.215,2.828,2.98,3.34,3.697
T0431,2.224,2.828,2.98,3.34,3.697
T0432,2.218,2.828,2.98,3.34,3.697
T0433,2.221,2.828,2.98,3.34,3.697
T0434,2.246,2.828,2.98,3.34,3.697
T0435,2.249,2.828,2.98,3.34,3.697
T0436,2.252,2.828,2.98,3.34,3.697
T0437,2.255,2.828,2.98,3.34,3.697
T0438,2.249,2.828,2.98,3.34,3.697
T0439,2.252,2.828,2.98,3.34,3.697
T0440,2.258,2.828,2.98,3.34,3.697
T0441,2.265,2.828,2.98,3.34,3.697
T0442,2.262,2.828,2.98,3.34,3.697
T0443,2.265,2.828,2.98,3.34,3.697
T0444,2.262,2.828,2.98,3.34,3.697
T0445,2.278,2.828,2.98,3.34,3.697
T0446,2.287,2.828,2.98,3.34,3.697
T0447,2.294,2.828,2.98,3.34,3.697
T0448,2.284,2.828,2.98,3.34,3.697
T0449,2.274,2.828,2.98,3.34,3.697
T0450,2.278,2.828,2.98,3.34,3.697
T0451,2.274,2.828,2.98,3.34,3.697
T0452,2.265,2.828,2.98,3.34,3.697
T0453,2.281,2.828,2.98,3.34,3.697
T0454,2.268,2.828,2.98,3.34,3.697
T0455,2.268,2.828,2.98,3.34,3.697
T0456,2.258,2.828,2.98,3.34,3.697
T0457,2.252,2.828,2.98,3.34,3.697
T0458,2.215,2.828,2.98,3.34,3.697
T0459,2.218,2.828,2.98,3.34,3.697
T0460,2.233,2.828,2.98,3.34,3.697
T0461,2.246,2.828,2.98,3.34,3.697
T0462,2.252,2.828,2.98,3.34,3.697
T0463,2.233,2.828,2.98,3.34,3.697
T0464,2.224,2.828,2.98,3.34,3.697
T0465,2.212,2.828,2.98,3.34,3.697
T0466,2.224,2.828,2.98,3.34,3.697
T0467,2.233,2.828,2.98,3.34,3.697
T0468,2.258,2.828,2.98,3.34,3.697
T0469,2.294,2.828,2.98,3.34,3.697
T0470,2.304,2.828,2.98,3.34,3.697
T0471,2.291,2.828,2.98,3.34,3.697
T0472,2.278,2.828,2.98,3.34,3.697
T0473,2.268,2.828,2.98,3.34,3.697
T0474,2.262,2.828,2.98,3.34,3.697
T0475,2.255,2.828,2.98,3.34,3.697
T0476,2.249,2.828,2.98,3.34,3.697
T0477,2.249,2.828,2.98,3.34,3.697
T0478,2.237,2.828,2.98,3.34,3.697
T0479,2.197,2.828,2.98,3.34,3.697
T0480,2.221,2.828,2.98,3.34,3.697
T0481,2.185,2.828,2.98,3.34,3.697
T0482,2.185,2.828,2.98,3.34,3.697
T0483,2.179,2.828,2.98,3.34,3.697
T0484,2.176,2.828,2.98,3.34,3.697
T0485,2.185,2.828,2.98,3.34,3.697
T0486,2.194,2.828,2.98,3.34,3.697
T0487,2.203,2.828,2.98,3.34,3.697
T0488,2.227,2.828,2.98,3.34,3.697
T0489,2.194,2.828,2.98,3.34,3.697
T0490,2.191,2.828,2.98,3.34,3.697
T0491,2.197,2.828,2.98,3.34,3.697
T0492,2.197,2.828,2.98,3.34,3.697
T0493,2.206,2.828,2.98,3.34,3.697
T0494,2.206,2.828,2.98,3.34,3.697
T0495,2.224,2.828,2.98,3.34,3.697
T0496,2.233,2.828,2.98,3.34,3.697
T0497,2.221,2.828,2.98,3.34,3.697
T0498,2.203,2.828,2.98,3.34,3.697
T0499,2.185,2.828,2.98,3.34,3.697
T0500,2.17,2.828,2.98,3.34,3.697
T0501,2.162,2.828,2.98,3.34,3.697
T0502,2.164,2.828,2.98,3.34,3.697
T0503,2.164,2.828,2.98,3.34,3.697
T0504,2.162,2.828,2.98,3.34,3.697
T0505,2.156,2.828,2.98,3.34,3.697
T0506,2.159,2.828,2.98,3.34,3.697
T0507,2.153,2.828,2.98,3.34,3.697
T0508,2.15,2.828,2.98,3.34,3.697
T0509,2.144,2.828,2.98,3.34,3.697
T0510,2.139,2.828,2.98,3.34,3.697
T0511,2.147,2.828,2.98,3.34,3.697
T0512,2.162,2.828,2.98,3.34,3.697
T0513,2.17,2.828,2.98,3.34,3.697
T0514,2.191,2.828,2.98,3.34,3.697
T0515,2.203,2.828,2.98,3.34,3.697
T0516,2.215,2.828,2.98,3.34,3.697
T0517,2.224,2.828,2.98,3.34,3.697
T0518,2.23,2.828,2.98,3.34,3.697
T0519,2.23,2.828,2.98,3.34,3.697
T0520,2.227,2.828,2.98,3.34,3.697
T0521,2.218,2.828,2.98,3.34,3.697
T0522,2.218,2.828,2.98,3.34,3.697
T0523,2.221,2.828,2.98,3.34,3.697
T0524,2.215,2.828,2.98,3.34,3.697
T0525,2.224,2.828,2.98,3.34,3.697
T0526,2.23,2.828,2.98,3.34,3.697
T0527,2.23,2.828,2.98,3.34,3.697
T0528,2.23,2.828,2.98,3.34,3.697
T0529,2.23,2.828,2.98,3.34,3.697
T0530,2.233,2.828,2.98,3.34,3.697
T0531,2.23,2.828,2.98,3.34,3.697
T0532,2.23,2.828,2.98,3.34,3.697
T0533,2.23,2.828,2.98,3.34,3.697
T0534,2.23,2.828,2.98,3.34,3.697
T0535,2.233,2.828,2.98,3.34,3.697
T0536,2.246,2.828,2.98,3.34,3.697
T0537,2.243,2.828,2.98,3.34,3.697
T0538,2.246,2.828,2.98,3.34,3.697
T0539,2.252,2.828,2.98,3.34,3.697
T0540,2.255,2.828,2.98,3.34,3.697
T0541,2.255,2.828,2.98,3.34,3.697
T0542,2.258,2.828,2.98,3.34,3.697
T0543,2.262,2.828,2.98,3.34,3.697
T0544,2.255,2.828,2.98,3.34,3.697
T0545,2.265,2.828,2.98,3.34,3.697
T0546,2.262,2.828,2.98,3.34,3.697
T0547,2.265,2.828,2.98,3.34,3.697
T0548,2.265,2.828,2.98,3.34,3.697
T0549,2.258,2.828,2.98,3.34,3.697
T0550,2.258,2.828,2.98,3.34,3.697
T0551,2.252,2.828,2.98,3.34,3.697
T0552,2.252,2.828,2.98,3.34,3.697
T0553,2.243,2.828,2.98,3.34,3.697
T0554,2.246,2.828,2.98,3.34,3.697
T0555,2.24,2.828,2.98,3.34,3.697
T0556,2.233,2.828,2.98,3.34,3.697
T0557,2.23,2.828,2.98,3.34,3.697
T0558,2.221,2.828,2.98,3.34,3.697
T0559,2.215,2.828,2.98,3.34,3.697
T0560,2.215,2.828,2.98,3.34,3.697
T0561,2.224,2.828,2.98,3.34,3.697
T0562,2.23,2.828,2.98,3.34,3.697
T0563,2.237,2.828,2.98,3.34,3.697
T0564,2.237,2.828,2.98,3.34,3.697
T0565,2.243,2.828,2.98,3.34,3.697
T0566,2.252,2.828,2.98,3.34,3.697
T0567,2.255,2.828,2.98,3.34,3.697
T0568,2.252,2.828,2.98,3.34,3.697
T0569,2.243,2.828,2.98,3.34,3.697
T0570,2.212,2.828,2.98,3.34,3.697
T0571,2.194,2.828,2.98,3.34,3.697
T0572,2.191,2.828,2.98,3.34,3.697
T0573,2.182,2.828,2.98,3.34,3.697
T0574,2.194,2.828,2.98,3.34,3.697
T0575,2.203,2.828,2.98,3.34,3.697
T0576,2.2,2.828,2.98,3.34,3.697
T0577,2.2,2.828,2.98,3.34,3.697
